customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,ExtraCharges
7590-VHVEG,Female,No,Yes,No,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,No,0.0
5575-GNVDE,Male,No,No,No,34,OneLine,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,No,-46.80000000000018
3668-QPYBK,Male,No,No,No,2,OneLine,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,Yes,0.45000000000000284
7795-CFOCW,Male,No,No,No,45,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,No,-62.74999999999977
9237-HQITU,Female,No,No,No,2,OneLine,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,Yes,10.25
9305-CDSKC,Female,No,No,No,8,MultipleLines,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,Yes,23.299999999999955
1452-KIOVK,Male,No,No,Yes,22,MultipleLines,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,No,-10.799999999999727
6713-OKOMC,Female,No,No,No,10,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,No,4.399999999999977
7892-POOKP,Female,No,Yes,No,28,MultipleLines,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,Yes,111.65000000000009
6388-TABGU,Male,No,No,Yes,62,OneLine,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,No,6.650000000000091
9763-GRSKD,Male,No,Yes,Yes,13,OneLine,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,No,-61.89999999999998
7469-LKBCI,Male,No,No,No,16,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,No,23.600000000000023
8091-TTVAX,Male,No,Yes,No,58,MultipleLines,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,No,-139.1999999999989
0280-XJGEX,Male,No,No,No,49,MultipleLines,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,Yes,-45.0
5129-JLPIS,Male,No,No,No,25,OneLine,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,No,48.55000000000018
3655-SNQYZ,Female,No,Yes,Yes,69,MultipleLines,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,No,80.89999999999964
8191-XWSZG,Female,No,No,No,52,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,No,-50.84999999999991
9959-WOFKT,Male,No,No,Yes,71,MultipleLines,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,No,-193.44999999999982
4190-MFLUW,Female,No,Yes,Yes,10,OneLine,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,Yes,-23.649999999999977
4183-MYFRB,Female,No,No,No,21,OneLine,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,No,-28.149999999999864
8779-QRDMV,Male,Yes,No,No,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,Yes,0.0
1680-VDCWW,Male,No,Yes,No,12,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,No,-35.35000000000002
1066-JKSGK,Male,No,No,No,1,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,Yes,0.0
3638-WEABW,Female,No,Yes,No,58,MultipleLines,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,No,30.90000000000009
6322-HRPFA,Male,No,Yes,Yes,49,OneLine,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,No,49.90000000000009
6865-JZNKO,Female,No,No,No,30,OneLine,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,No,-128.4000000000001
6467-CHFZW,Male,No,Yes,Yes,47,MultipleLines,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,Yes,79.69999999999982
8665-UTDHZ,Male,No,Yes,Yes,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,Yes,0.0
5248-YGIJN,Male,No,Yes,No,72,MultipleLines,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,No,-128.55000000000018
8773-HHUOZ,Female,No,No,Yes,17,OneLine,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,Yes,-6.800000000000182
3841-NFECX,Female,Yes,Yes,No,71,MultipleLines,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,No,-73.89999999999964
4929-XIHVW,Male,Yes,Yes,No,2,OneLine,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,No,-9.349999999999994
6827-IEAUQ,Female,No,Yes,Yes,27,OneLine,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,No,88.39999999999986
7310-EGVHZ,Male,No,No,No,1,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,No,0.0
3413-BMNZE,Male,Yes,No,No,1,OneLine,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,No,0.0
6234-RAAPL,Female,No,Yes,Yes,72,MultipleLines,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,No,58.899999999999636
6047-YHPVI,Male,No,No,No,5,OneLine,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,Yes,-31.600000000000023
6572-ADKRS,Female,No,No,No,46,OneLine,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,No,107.50000000000045
5380-WJKOV,Male,No,No,No,34,MultipleLines,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,Yes,-66.64999999999964
8168-UQWWF,Female,No,No,No,11,MultipleLines,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,Yes,29.050000000000182
8865-TNMNX,Male,No,Yes,Yes,10,OneLine,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,No,-19.80000000000001
9489-DEDVP,Female,No,Yes,Yes,70,MultipleLines,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,No,28.350000000000364
9867-JCZSP,Female,No,Yes,Yes,17,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,No,65.5
4671-VJLCL,Female,No,No,No,63,MultipleLines,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,No,-169.09999999999945
4080-IIARD,Female,No,Yes,No,13,MultipleLines,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,No,-9.149999999999977
3714-NTNFO,Female,No,No,No,49,MultipleLines,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,No,-233.80000000000018
5948-UJZLF,Male,No,No,No,2,OneLine,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,No,-1.5
7760-OYPDY,Female,No,No,No,2,OneLine,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,Yes,-17.150000000000006
7639-LIAYI,Male,No,No,No,52,MultipleLines,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,No,70.80000000000018
2954-PIBKO,Female,No,Yes,Yes,69,MultipleLines,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,No,-172.25
8012-SOUDQ,Female,Yes,No,No,43,MultipleLines,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,No,-42.0
9420-LOJKX,Female,No,No,No,15,OneLine,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,Yes,-60.09999999999991
6575-SUVOI,Female,Yes,Yes,No,25,MultipleLines,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,No,15.150000000000091
7495-OOKFY,Female,Yes,Yes,No,8,MultipleLines,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,Yes,-11.900000000000091
4667-QONEA,Female,Yes,Yes,Yes,60,OneLine,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,No,-34.649999999999636
1658-BYGOY,Male,Yes,No,No,18,MultipleLines,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,Yes,34.44999999999982
